EADX.DAT
A          Alicante(EA5)
AB         Albacete(EA5)
AL         Almeria(EA7)
AV         Avila(EA1)
B          Barcelona(EA3)
BA         Badajoz(EA4)
BI         Bilbao(EA2)
BU         Burgos(EA1)
C          La Coruna(EA1)
CA         Cadiz(EA7)
CC         Caceres(EA4)
CE         Ceuta(EA9)
CO         Cordova(EA7)
CR         Ciudad Real(EA4)
CS         Castellon(EA5)
CU         Cuenca(EA4)
GC         Gran Canaria(EA8)
GI         Girona(EA3)
GR         Granada(EA7)
GU         Guadalajara(EA4)
H          Huelva(EA7)
HU         Huesca(EA2)
IB         Baleares(EA6)
J          Jaen(EA7)
L          Lerida(EA3)
LE         Leon(EA1)
LO         Logrono(EA1)
LU         Lugo(EA1)
M          Madrid(EA4)
MA         Malaga(EA7)
ML         Melilla(EA9)
MU         Murcia(EA5)
NA         Navarra(EA2)
O          Oviedo(EA1)
OU,OR      Orense(EA1)
P          Palencia(EA1)
PO         Pontevedra(EA1)
S          Santander(EA1)
SA         Salamanca(EA1)
SE         Sevilla(EA7)
SG         Segovia(EA1)
SO         Soria(EA1)
SS         San Sebastian(EA2)
T          Tarragona(EA3)
TE         Teruel(EA2)
TF         Tenerife(EA8)
TO         Toledo(EA4)
V          Valencia(EA5)
VA         Valladolid(EA1)
VI         Vitoria(EA2)
Z          Zaragoza(EA2)
ZA         Zamora(EA1)
end of file eadx.dat
