non-aja RSGB.DAT
AB         Aberdeen
AL         St. Albans
BM         Birmingham
BA         Bath
BB         Blackburn
BD         Bradford
BH         Bournesmouth
BL         Bolton
BN         Brighton
BR         Bromley
BS         Bristol
BT         Belfast
CA         Carlisle
CB         Cambridge
CF         Cardiff
CH         Chester
CM         Chelmsford
CO         Colchester
CR         Croydon
CT         Cantebury
CV         Coventry
CW         Crewe
DA         Dartford
DD         Dundee
DE         Derby
DG         Dumfries
DH         Durham
DL         Darlington
DN         Doncaster
DT         Dorchester
DY         Dudley
EL         London/E1-18
EC         London/EC1-4
EH         Edinburgh
EN         Enfield
EX         Exeter
FK         Falkirk
FY         Blackpool
GS         Glasgow
GL         Glowcester
GU         Guildford
GY         Guernsey
HA         Harrow
HD         Huddersfield
HG         Harrogate
HP         Hemel Hempstead
HR         Hereford
HS         Scottish Islands
HU         Hull
HX         Halifax
IG         Ilford
IM         Isle of Man
IP         Ipswich
IV         Inverness
JE         Jersey
KA         Kilmarnock
KT         Kingston upon Thames
KW         Orkney
KY         Kirkcaldy
LP         Liverpool
LA         Lancaster
LD         Llandrindod Wells
LE         Leicester
LL         Llandudno
LN         Lincoln
LS         Leeds
LU         Luton 
MR         Manchester
ME         Medway
MK         Milton Keynes
ML         Motherwell
NL         London/N1-22
NE         Newcasle upon Tyne
NG         Nottingham
NN         Northampton
NP         Newport
NR         Norwich
NW         London/NW1-11
OL         Oldham
OX         Oxford
PA         Paisley
PE         Peterborough
PH         Perth
PL         Plymouth
PO         Portsmouth
PR         Preston
RG         Reading
RH         Redhill
RM         Romford
SD         Sheffield
SA         Swansea
SE         London/SE1-28
SG         Stevenage
SK         Stockport
SL         Slough
SM         Sutton
SN         Swindon
SO         Southampton
SP         Salisbury
SR         Sunderland
SS         Southend on Sea
ST         Stoke on Trent
SW         London/SW1-20
SY         Shrewsbury
TA         Taunton
TD         Twead
TF         Telford
TN         Tonbridge
TQ         Torquay
TR         Truro
TS         Teeside
TW         Twickenham
UB         Uxbridge
WL         London/W1-14
WA         Warrington
WC         London/WC1-2
WD         Watford
WF         Wakefield
WN         Wigan
WR         Worcester
WS         Walsall
WV         Wolverhampton
YO         York
ZE         Shetland Isles
end of file rsgb.dat
