non-aja KYOTO.DAT for ZLOGCG.EXE
C02        福知山市
C03        舞鶴市
C04        綾部市
C05        宇治市
C06        宮津市
C07        亀岡市
C08        城陽市
C09        長岡京市
C10        向日市
C11        八幡市
C12        京田辺市
C13        京丹後市
C14        南丹市
C15        木津川市
G03A       乙訓郡大山崎町 
G06A       久世郡久御山町
G08A       相楽郡笠置町
G08D       相楽郡精華町
G08F       相楽郡南山城村
G08G       相楽郡和束町
G10A       綴喜郡井手町
G10B       綴喜郡宇治田原町
G12G       船井郡京丹波町 
G14D       与謝郡伊根町
G14E       与謝郡与謝野町 
W01        北区
W02        上京区
W03        左京区
W04        中京区
W05        東山区
W06        下京区
W07        南区
W08        右京区
W09        伏見区
W10        山科区
W11        西京区
SY         宗谷
RM         留萌
KK         上川
OH         オホーツク
SC         空知
IS         石狩
NM         根室
SB         後志
TC         十勝
KR         釧路
HD         日高
IR         胆振
HY         檜山
OM         渡島
AM         青森
IT         岩手
AT         秋田
YM         山形
MG         宮城
FS         福島
NI         新潟
NN         長野
TK         東京
KN         神奈川
CB         千葉
ST         埼玉
IB         茨城
TG         栃木
GM         群馬
YN         山梨
SO         静岡
GF         岐阜
AC         愛知
ME         三重
SI         滋賀
NR         奈良
OS         大阪
WK         和歌山
HG         兵庫
TY         富山
FI         福井
IK         石川
OY         岡山
SN         島根
YG         山口
TT         鳥取
HS         広島
KA         香川
TS         徳島
EH         愛媛
KC         高知
FO         福岡
SG         佐賀
NS         長崎
KM         熊本
OT         大分
MZ         宮崎
KG         鹿児島
ON         沖縄
OG         小笠原
end of file kyoto.dat
