non-aja OKOMDX.DAT for ZLOGCG.EXE
APA        Praha1 [OK]
APB        Praha2 [OK]
APC        Praha3 [OK]
APD        Praha4 [OK]
APE        Praha5 [OK]
APF        Praha6 [OK]
APG        Praha7 [OK]
APH        Praha8 [OK]
API        Praha9 [OK]
APJ        Praha10 [OK]
BBN        Benesov [OK]
BBE        Beroun [OK]
BKD        Kladno [OK]
BKO        Kolin [OK]
BKH        Kutna Hora [OK]
BME        Melnik [OK]
BMB        Mlada Boleslav [OK]
BNY        Nymburk [OK]
BPZ        Praha zapad [OK]
BPV        Praha vychod [OK]
BPB        Pribram [OK]
BRA        Rakovnik [OK]
CBU        Ceske Budejovice [OK]
CCK        Cesky Krumlov [OK]
CJH        Jindrichuv Hradec [OK]
CPE        Pelhrimov [OK]
CPI        Pisek [OK]
CPR        Prachatice [OK]
CST        Strakonice [OK]
CTA        Tabor [OK]
DDO        Domazlice [OK]
DCH        Cheb [OK]
DKV        Karlovy Vary [OK]
DKL        Klatovy [OK]
DPM        Plzen mesto [OK]
DPJ        Plzen jih [OK]
DPS        Plzen sever [OK]
DRO        Rokycany [OK]
DSO        Sokolov [OK]
DTA        Tachov [OK]
ECL        Ceska Lipa [OK]
EDE        Decin [OK]
ECH        Chomutov [OK]
EJA        Jablonec n.N. [OK]
ELI        Liberec [OK]
ELT        Litomerice [OK]
ELO        Louny [OK]
EMO        Most [OK]
ETE        Teplice [OK]
EUL        Usti n.L. [OK]
FHB        Havlickuv Brod [OK]
FHK        Hradec Kralove [OK]
FCR        Chrudim [OK]
FJI        Jicin [OK]
FNA        Nachod [OK]
FPA        Pardubice [OK]
FRK        Rychnov n.K. [OK]
FSE        Semily [OK]
FSV        Svitavy [OK]
FTR        Trutnov [OK]
FUO        Usti n.O. [OK]
GBL        Blansko [OK]
GBM        Brno mesto [OK]
GBV        Brno venkov [OK]
GBR        Breclav [OK]
GHO        Hodonin [OK]
GJI        Jihlava [OK]
GKR        Kromeriz [OK]
GPR        Prostejov [OK]
GTR        Trebic [OK]
GUH        Uherske Hradiste [OK]
GVY        Vyskov [OK]
GZL        Zlin [OK]
GZN        Znojmo [OK]
GZS        Zdar n.S. [OK]
HBR        Bruntal [OK]
HFM        Frydek-Mistek [OK]
HJE        Jesenik [OK]
HKA        Karvina [OK]
HNJ        Novy Jicin [OK]
HOL        Olomouc [OK]
HOP        Opava [OK]
HOS        Ostrava [OK]
HPR        Prerov [OK]
HSU        Sumperk [OK]
HVS        Vsetin [OK]
BAA        Bratislava1 [OM1]
BAB        Bratislava2 [OM1]
BAC        Bratislava3 [OM1]
BAD        Bratislava4 [OM1]
BAE        Bratislava5 [OM1]
MAL        Malacky [OM1]
PEZ        Pezinok [OM1]
SEN        Senec [OM1]
TRN        Trnava [OM2]
DST        Dunajska Streda [OM2]
GAL        Galanta [OM2]
HLO        Hlohovec [OM2]
PIE        Piestany [OM2]
SEA        Senica [OM2]
SKA        Skalica [OM2]
TNC        Trencin [OM4]
BAN        Banovce n. Bebr. [OM4]
ILA        Ilava [OM4]
MYJ        Myjava [OM4]
NMV        Nove Mesto n. Vah. [OM4]
PAR        Partizanske [OM4]
PBY        Povazska Bystrica [OM4]
PRI        Prievidza [OM4]
PUC        Puchov [OM4]
NIT        Nitra [OM5]
KOM        Komarno [OM5]
LVC        Levice [OM5]
NZA        Nove Zamky [OM5]
SAL        Sala [OM5]
TOP        Topolcany [OM5]
ZMO        Zlate Moravce [OM5]
ZIL        Zilina [OM6]
BYT        Bytca [OM6]
CAD        Cadca [OM6]
DKU        Dolny Kubin [OM6]
KNM        Kysucke N. Mesto [OM6]
LMI        Liptovsky Mikulas [OM6]
MAR        Martin [OM6]
NAM        Namestovo [OM6]
RUZ        Ruzomberok [OM6]
TTE        Turcianske Teplice [OM6]
TVR        Tvrdosin [OM6]
BBY        Banska Bystrica [OM7]
BRE        Brezno [OM7]
DET        Detva [OM7]
KRU        Krupina [OM7]
LUC        Lucenec [OM7]
POL        Poltar [OM7]
REV        Revuca [OM7]
RSO        Rimavska Sobota [OM7]
VKR        Velky Krtis [OM7]
ZVO        Zvolen [OM7]
ZAR        Zarnovica [OM7]
ZIH        Ziar nad Hronom [OM7]
BST        Banska Stiavnica [OM7]
KEA        Kosice1 [OM8]
KEB        Kosice2 [OM8]
KEC        Kosice3 [OM8]
KED        Kosice4 [OM8]
KEO        Kosice-okolie [OM8]
GEL        Gelnica [OM8]
MIC        Michalovce [OM8]
ROZ        Roznava [OM8]
SOB        Sobrance [OM8]
SNV        Spisska Nova Ves [OM8]
TRE        Trebisov [OM8]
PRE        Presov [OM0]
BAR        Bardejov [OM0]
HUM        Humenne [OM0]
KEZ        Kezmarok [OM0]
LEV        Levoca [OM0]
POP        Poprad [OM0]
SAB        Sabinov [OM0]
SNI        Snina [OM0]
SLU        Stara Lubovna [OM0]
STR        Stropkov [OM0]
SVI        Svidnik [OM0]
VRT        Vranov nad Toplou [OM0]
MED        Medzilaborce [OM0]
end of file okomdx.dat
