ARIDX.DAT
AG         Agrigento(IT9)
AL         Alessandira(I1)
AN         Anacona(I6)
AO         Aosta(IX1)
AP         Ascoli Piceno(I6)
AQ         L'aquila(I6)
AR         Arezzo(I5)
AT         Asti(I1)
AV         Avellino(I8)
BA         Bari(I7)
BG         Bergamo(I2)
BI         BI(I1)
BL         Belluno(I3)
BN         Benevento(I8)
BO         Bologna(I4)
BR         Brindisi(I7)
BS         Brescia(I2)
BZ         Bolzano(IN3)
CA         Cagliari(IS0)
CB         Campobasso(I8)
CE         Caserta(I8)
CH         Chieti(I6)
CL         Catalnissetta(IT9)
CN         Cuneo(I1)
CO         Como(I2)
CR         Cremona(I2)
CS         Cosenza(I8)
CT         Catania(IT9)
CZ         Catanzaro(I8)
EN         Enna(IT9)
FE         Ferrara(I4)
FG         Foggia(I7)
FI         Firenze(I5)
FO         Forli(I4)
FR         Frosinone(I0)
GE         Genoa(I1)
GO         Glorizia(IV3)
GR         Grosseto(I5)
IM         Imperia(I1)
IS         Isernia(I8)
KR         KR(I8)
LC         LC(I2)
LE         Lecce(I7)
LI         Livorno(I5)
LO         LO(I2)
LT         Latina(I0)
LU         Lucca(I5)
MC         Maccerata(I6)
ME         Messina(IT9)
MI         Milano(I2)
MN         Mantova(I2)
MO         Modena(I4)
MS         Massa Carrara(I5)
MT         Matera(I7)
NA         Napoli(I8)
NO         Novara(I1)
NU         Nuoro(IS0)
OR         Oristano(IS0)
PA         Palermo(IT9)
PC         Piacenza(I4)
PD         Padova(I3)
PE         Pescara(I6)
PG         Perugia(I0)
PI         Pisa(I5)
PN         Pordenone(IV3)
PO         PO(I5)
PR         Parma(I4)
PS         Pesaro(I6)
PT         Pistoia(I5)
PV         Pavia(I2)
PZ         Potenza(I8)
RA         Ravenna(I4)
RC         Reggio Calabria(I8)
RE         Reggio Emilia(I4)
RG         Regusa(IT9)
RI         Rieti(I0)
RM         Roma(I0)
RN         RN(I4)
RO         Rovigo(I3)
SA         Salerno(I8)
SI         Siena(I5)
SO         Sondrio(I2)
SP         La Spezia(I1)
SR         Siracusa(IT9)
SS         Sassari(IS0)
SV         Savona(I1)
TA         Taranto(I7)
TE         Termao(I6)
TN         Trento(IN3)
TO         Torino(I1)
TP         Trapani(IT9)
TR         Terni(I0)
TS         Trieste(IV3)
TV         Treviso(I3)
UD         Udine(IV3)
VA         Varesa(I2)
VB         VB(I1)
VC         Vercelli(I1)
VE         Venezia(I3)
VI         Vincenza(I3)
VR         Verona(I3)
VT         Viterno(I0)
VV         VV(I8)
end of file aridx.dat
