ARRLRAC.DAT
CT,CN,CON,CONN Connecticut
MA             Massachussetts
ME,MAI         Maine
NH             New Hampshire
RI             Rhode Island
VT             Vermont
NY             New York
NJ             New Jersey
DE,DL,DEL      Delaware
PA             Pennsylvania
MD             Maryland
DC,WDC         Dist of Columbia
AL             Alabama
GA             Georgia
KY,KTY         Kentucky
NC             North Carolina
FL             Florida
SC             South Carolina
TN,TEN         Tennessee
VA             Virginia
AR             Arkansas
LA,LOU         Louisiana
MS,MIS         Mississippi
NM             New Mexico
TX,TEX         Texas
OK,OKL         Oklahoma
CA             California
AZ,ARI         Arizona
ID             Idaho
MT,MON         Montana
NV,NEV         Nevada
OR,ORE         Oregon
UT             Utah
WA,WAS         Washington
WY             Wyoming
MI,MIC         Michigan
OH             Ohio
WV             West Virginia
IL,ILL         Illinois
IN             Indiana
WI,WS,WIS      Wisconsin
CO             Cololado
IA,IO          Iowa
KS,KA          Kansas
MN,MIN         Minnesota
MO             Missouri
NE,NEB         Nebraska
ND             North Dakota
SD             South Dakota
NB,VE9         New Brunswick
NS             Nova Scotia
PE,PEI,VY2     Prince Edward Is.
PQ,QC,QU,VE2   Quebec
ON,VE3         Ontario
MB,MAN,VE4     Manitoba
SK,SA,VE5      Saskatchewan
AB,ALT,ALB,VE6 Alberta
BC,VE7         Br. Columbia
NWT,NT,VE8     Northwest Territories
YUK,YU,YT,VY1  Yukon
NF,VO1         Newfoundland
LAB,LB,VO2     Labrador
VY,VY0         Nunavut
end of file arrlrac.dat
