non-aja KCJ.DAT for ZLOGCG.EXE
SY         Soya 
RM         Rumoi
KK         Kamikawa
SC         Sorachi
IS         Ishikari
NM         Nemuro
SB         Shiribeshi
TC         Tokachi
KR         Kushiro
HD         Hidaka
IR         Iburi
HY         Hiyama
OM         Oshima
OH         Okhotsk
AM         Aomori
IT         Iwate
AT         Akita
YM         Yamagata
MG         Miyagi
FS         Fukushima
NI         Niigata
NN         Nagano
TK         Tokyo
KN         Kanagawa
CB         Chiba
ST         Saitama
IB         Ibaragi
TG         Tochigi
GM         Gunma
YN         Yamanashi
SO         Shizuoka
GF         Gifu
AC         Aichi
ME         Mie
KT         Kyoto
SI         Shiga
NR         Nara
OS         Osaka
WK         Wakayama
HG         Hyougo
TY         Toyama
FI         Fukui
IK         Ishikawa
OY         Okayama
SN         Shimane
YG         Yamaguchi
TT         Tottori
HS         Hiroshima
KA         Kagawa
TS         Tokushima
EH         Ehime
KC         Kochi
FO         Fukuoka
SG         Saga
NS         Nagasaki
KM         Kumamoto
OT         Oita
MZ         Miyazaki
KG         Kagoshima
ON         Okinawa
OG         Ogasawara
MT         Minamitorishima
end of file kcj.dat
