HADX.DAT
BA         Baranya(HA3)
BP         Budapest(HA5)
BE         Bekes(HA8)
BN         Bacs-Kiskun(HA8)
BO         Borsod-Abauj-Zemplen(HA9)
CS         Csongrad(HA8)
FE         Fejer(HA4)
GY         Gyor-Moson-Sopron(HA1)
HA         Hajdu-Bihar(HA0)
HE         Heves(HA6)
KO         Komarom-Eszter-gorn(HA2)
NG         Nograd(HA6)
PE         Pest(HA7)
SA         Szabolcs-Szatmar-Bereg(HA0)
SO         Somogy(HA3)
SZ         Jasz-Nagykun-Szolnok(HA7)
TO         Tolna(HA3)
VA         Vas(HA1)
VE         Veszprem(HA2)
ZA         Zala(HA1)
end of file hadx.dat
