HB.DAT
AG         Aargau
AI         AppenzellInnerehoden
AR         AppenzellAusserrhoden
BE         Bern
BL         Basel-Land
BS         Basel-Stadt
FR         Fribourg
GE         Geneva
GL         Glarus
GR         Graubunden
JU         Jura
LU         Lucerne
NE         Neuchatel
NW         Nidwalden
OW         Obwalden
SG         St.Galen
SH         Schaffhausen
SO         Solothurn
SZ         Schwyz
TG         Thurgau
TI         Ticino
UR         Uri
VD         Vaud
VS         Valais
ZG         Zug
ZH         Zurich
end of file hb.dat
