UADX.CFG
AB         Aginsky Buryatsky AO(8V)
AD         Adygeya(6Y)
AL         Altaysky kray(9Y)
AM         Amurskaya obl.(0J)
AN         Antarctica(R1AN)
AO         Astrakhanskaya obl.(6U)
AR         Arkhangelskaya obl.(1O)
BA         Bashkortostan(9W)
BO         Belgorodskaya obl.(3Z)
BR         Bryanskaya obl.(3Y)
BU         Buryatiya(0O)
CB         Chelyabinskaya obl.(9A,B)
CK         Chukotsky AO(0K)
CN         Chechnya(6P)
CT         Chitinskaya obl.(0U)
CU         Chuvashiya(4Y)
DA         Dagestan(6W)
EA         Evreyskaya obl.(0D)
EW         Evenkiyskiy AO(0H)
FJ         Franz Josef Land(R1FJ)
GA         Gorno-Altayskaya AO(9Z)
HA         Hakassiya(0W)
HK         Habarovsky kray(0C)
HM         Hanty-Mansiysky AO(9J)
IN         Ingushetiya(6Q)
IR         Irkutskaya obl.(0S)
IV         Ivanovskaya obl.(3U)
JA         Yaroslavskaya obl.(3M)
JN         Yamalo-Nenetsky AO(9K)
KA         Kaliningradskaya obl.(2F)
KB         Kabardino-Balkariya(6X)
KC         Karachaevo-Cherkess(6E)
KE         Kemerovskaya obl.(9U)
KG         Kaluzhskaya obl.(3X)
KI         Kirovskaya obl.(4N)
KJ         Koryaksky AO(0X)
KK         Krasnoyarsky kray(0A)
KL         Karelia(1N)
KM         Kalmykiya(6I)
KN         Kurganskaya obl.(9Q,R)
KO         Komi(9X)
KP         Komi-Permyatsky AO(9G)
KR         Krasnodarskiy kray(6A,B)
KS         Kostromskaya obl.(3N)
KT         Kamchatskaya obl.(0Z)
KU         Kurskaya obl.(3W)
LO         Leningradskaya obl.(1C,D)
LP         Lipetskaya obl.(3G)
MA         Moscow city(3A,B)
MD         Mordoviya(4U)
MG         Magadanskaya obl.(0I)
MO         Moskovskaya obl.(3D,F)
MR         Mary-El(4S)
MU         Murmanskaya obl.(1Z)
MV         Malyj Vysotskij Isl(R1MV)
NN         Nizhegorodskaya obl.(3T)
NO         Nenetsky AO(1P)
NS         Novosibirskaya obl.(9O)
NV         Novgorodskaya obl.(1T)
OB         Orenburgskaya obl.(9S)
OM         Omskaya obl.(9M)
OR         Orlovskaya obl.(3E)
PE         Penzenskaya obl(4F)
PK         Primorsky kray(0L)
PM         Permskaya obl.(9F)
PS         Pskovskaya obl.(1W)
RA         Tambovskaya obl.(3S)
RO         Rostovskaya obl.(6L,M)
SA         Saratovskaya obl.(4C)
SL         Sakhalinskaya obl.(0F)
SM         Smolenskaya obl.(3L)
SO         Severnaya Osetiya(6J)
SP         St. Petersburg(1A,B)
SR         Samarskaya obl.(4H)
ST         Stavropolsky kray(6H,F)
SV         Sverdlovskaya obl.(9C,D)
TA         Tatarstan(4P)
TB         Tambovskaya obl.(3R)
TL         Tulskaya obl.(3P)
TM         Taymyrsky AO(0B)
TN         Tyumenskaya obl.(9L)
TO         Tomskaya obl.(9H)
TU         Tuva(0Y)
TV         Tverskaya obl.(3I)
UD         Udmurtiya(4W)
UL         Ulyanovskaya obl.(4L)
UO         Ust-Ordynsky Buryat.AO(8T)
VG         Volgogradskaya obl.(4A)
VL         Vladimirskaya obl.(3V)
VO         Vologodskaya obl.(1Q)
VR         Voronezhskaya obl.(3Q)
YA         Saha(0Q)
end of file uadx.dat
