urdx.dat
VI         Vinnitskaya (N)
VO         Volynskaya(P)
LU         Luganskaya(M)
DN         Dnepropetrovskaya(E)
ZH         Zhitomirskaya(X)
ZA         Zakarpatskaya(D)
ZP         Zaporozhskaya(Q)
KO         Kievskaya(U)
KI         Kirovogradskaya(V)
KR         Crimea(UU0-8J)
LV         Lvovskaya(W)
NI         Nikolaevskaya(Z)
OD         Odesskaya(F)
PO         Poltavskaya(H)
RI         Rovenskaya(K)
DO         Donetskaya(I)
IF         Ivano-Frankovskaya(S)
SU         Sumskaya(A)
TE         Ternopolskaya(B)
HA         Kharkovskaya(L)
HE         Khersonskaya(G)
HM         Khmelnitskaya(T)
CH         Cherkasskaya(C)
CR         Chernigovskaya(R)
CN         Chernovitskaya(Y)
KV         Kiev(U)
SL         Sevastopol(UU9J)
end of file urdx.dat
